game,base_price,discount,sale_price,sale_type,sale_date
Elden Ring,50.42,50,25.21,Daily Deal,2023-01-01
Elden Ring,50.42,50,25.21,Winter Sale,2023-02-15
Elden Ring,50.42,60,20.17,Winter Sale,2023-05-03
Elden Ring,50.42,30,35.29,Winter Sale,2023-07-30
Elden Ring,50.42,40,30.25,Winter Sale,2023-10-20
Elden Ring,50.42,30,35.29,Steam Summer Sale,2024-01-16
Elden Ring,50.42,30,35.29,Winter Sale,2024-03-04
Elden Ring,50.42,20,40.34,Steam Summer Sale,2024-04-04
Elden Ring,50.42,40,30.25,Game Awards,2024-07-01
Elden Ring,50.42,60,20.17,Game Awards,2024-09-20
Cyberpunk 2077,51.67,30,36.17,Daily Deal,2023-01-01
Cyberpunk 2077,51.67,60,20.67,Daily Deal,2023-04-01
Cyberpunk 2077,51.67,50,25.83,Steam Summer Sale,2023-06-25
Cyberpunk 2077,51.67,60,20.67,Winter Sale,2023-08-03
Cyberpunk 2077,51.67,20,41.34,Game Awards,2023-10-08
Cyberpunk 2077,51.67,20,41.34,Steam Summer Sale,2023-12-04
Red Dead Redemption 2,60.76,10,54.68,Daily Deal,2023-01-01
Red Dead Redemption 2,60.76,40,36.46,Publisher Weekend,2023-03-06
Red Dead Redemption 2,60.76,10,54.68,Publisher Weekend,2023-05-25
Red Dead Redemption 2,60.76,10,54.68,Publisher Weekend,2023-08-04
Red Dead Redemption 2,60.76,40,36.46,Steam Summer Sale,2023-10-29
Red Dead Redemption 2,60.76,10,54.68,Publisher Weekend,2023-12-04
Red Dead Redemption 2,60.76,50,30.38,Daily Deal,2024-02-21
Red Dead Redemption 2,60.76,40,36.46,Game Awards,2024-04-03
Red Dead Redemption 2,60.76,50,30.38,Winter Sale,2024-06-03
The Witcher 3,65.75,20,52.6,Game Awards,2023-01-01
The Witcher 3,65.75,60,26.3,Daily Deal,2023-04-01
The Witcher 3,65.75,50,32.87,Publisher Weekend,2023-06-21
The Witcher 3,65.75,20,52.6,Daily Deal,2023-09-05
The Witcher 3,65.75,20,52.6,Publisher Weekend,2023-11-16
Stardew Valley,31.81,70,9.54,Steam Summer Sale,2023-01-01
Stardew Valley,31.81,30,22.27,Steam Summer Sale,2023-03-05
Stardew Valley,31.81,10,28.63,Daily Deal,2023-06-03
Stardew Valley,31.81,70,9.54,Game Awards,2023-08-24
Stardew Valley,31.81,70,9.54,Publisher Weekend,2023-11-22
Stardew Valley,31.81,60,12.72,Game Awards,2024-02-09
Stardew Valley,31.81,10,28.63,Winter Sale,2024-03-12
Stardew Valley,31.81,60,12.72,Winter Sale,2024-05-09
Stardew Valley,31.81,60,12.72,Daily Deal,2024-07-06
Hogwarts Legacy,36.51,10,32.86,Game Awards,2023-01-01
